R1=100 ohm,R4 ohm,U4 (V)
R2=1000ohm,100, 2.04
R3=100ohm,200, 1.26
Load 4.96v,300, 0.85
,350,0.72
,400,0.60
,500, 0.43
,600, 0.31
,650, 0.26
,700, 0.21
,750, 0.18
,800, 0.14
,850, 0.11
,900, 0.08
,910, 0.08
,920, 0.07
,930, 0.07
,940,0.06
,950, 0.06
,960, 0.05
,970, 0.05
,980, 0.039
,985, 0.036
,990, 0.03
,1000, 0.03
,1010, 0.03
,1020, 0.03
,1030, 0.02
,1040, 0.02
,1050, 0.01
,1060, 0.01
,1070, 0.01
,1080, 0.0
,1090, 0.0
,1100,  -0.004
,1110, -0.005
,1120, -0.012
,1130, -0.015
,1140, -0.018
,1150, -0.022
,1200, -0.037
,1300, -0.066
,1400, -0.091
,1500, -0.114
,1600, -0.134
,1700, -0.151
,2000, -0.195
,2200, -0.216
,2400, -0.234
,2600, -0.250
,3000, -0.276
,3500, -0.299
,4000, -0.318
,5000, -0.344
,6000, -0.361
,7000, -0.374
,10000, -0.396
,15000, -0.414
,20000, -0.423
,30000, -0.432
